"S00026234"	"S00026235"	"S00026236"	"S00026237"	"S00026238"	"S00026239"	"S00026240"	"S00026241"	"S00026242"	"S00026243"	"S00026244"	"S00026245"	"S00026246"	"S00026247"	"S00026248"	"S00026249"	"S00026250"	"S00026251"	"S00026252"	"S00026253"	"S00026254"	"S00026255"	"S00026256"	"S00026257"	"S00026258"	"S00026259"	"S00026260"	"S00026261"	"S00026262"	"S00026263"	"S00026264"	"S00026265"	"S00026266"
"ME204046"	NA	NA	NA	NA	NA	NA	NA	NA	3486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7302	NA	16800	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204047"	NA	NA	2530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204048"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204049"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4279	NA
"ME204050"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4603	NA	NA	2816	3067	NA
"ME204051"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2265	NA	NA	NA	NA	NA	NA	NA
"ME204052"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204053"	44630	45670	54479	52835	55458	9614	NA	47369	19316	46997	55752	49372	39035	20800	52530	14602	54322	NA	46085	43492	29810	47898	NA	45387	NA	51172	43408	35712	32064	32548	45280	NA	67031
"ME204054"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100236	26960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16311	NA	113761	NA	NA	16457	NA	NA	NA	59915	NA
"ME204055"	NA	4916	4671	NA	3491	3452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2087	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204056"	17535	28038	26941	31317	32724	26800	15219	17569	12845	9546	17648	7327	16401	7070	16063	3489	24005	NA	14772	14722	9618	13630	10008	18622	22168	22422	13161	11720	8737	10761	14534	12326	12897
"ME204057"	NA	109486	149968	NA	104656	NA	146031	NA	370175	NA	NA	214364	393383	213990	95560	NA	331520	255450	NA	NA	413611	374495	141656	174063	77727	203976	NA	385358	72950	NA	NA	310383	82546
"ME204058"	NA	10301	6864	8215	NA	20424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204059"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7632	NA	NA	NA	NA	NA	NA	NA
"ME204062"	NA	7135	NA	5645	NA	1321	2283	4296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2729	1714	NA	NA	NA	NA	NA	NA	NA	NA
"ME204063"	1982	3845	4173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204060"	22100000	32800000	31500000	33100000	34300000	21700000	26200000	23300000	13600000	16200000	2.1e+07	14600000	13200000	10300000	16300000	7837924	2.1e+07	NA	15700000	16100000	17100000	13300000	13400000	17700000	15100000	2.2e+07	16800000	17600000	9216911	11400000	10800000	19200000	13700000
"ME204061"	424838	566836	519443	440389	577745	399963	460778	420212	301235	342556	412501	329640	341815	266403	368047	207782	430442	NA	379799	368208	453470	346838	302486	411246	357205	510694	416499	409154	233812	274026	253001	390746	296742
"ME204064"	9594292	11400000	12300000	9446078	10100000	7347849	12300000	12900000	7158746	9371405	13100000	7780757	5992984	4870878	6258730	4869407	9037172	544295	7220823	6908365	5132933	8190165	4126752	7029457	7305757	11800000	7803889	13900000	4373824	5055114	9404112	6913799	8852365
"ME204065"	278928	454128	465872	127609	371312	312582	342958	415750	99604	131788	302068	107167	90414	76274	98717	71666	128385	7398	167017	142498	101861	189781	59678	235705	142467	154866	164703	241394	52890	113044	173827	182576	53879
"ME204067"	NA	NA	NA	NA	NA	NA	NA	3187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204066"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18219	NA	NA	NA	NA	NA	NA	11567	NA	NA	NA	NA	NA	57047	NA	NA	NA	NA	NA	NA	NA	9820
"ME204068"	46498	140099	49657	71393	22442	83934	63169	76626	NA	NA	50406	358393	108798	81598	NA	NA	NA	NA	134421	NA	133462	26568	NA	98985	NA	189585	NA	NA	NA	NA	66623	NA	NA
"ME204071"	NA	NA	NA	3738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME204072"	NA	7284	14145	36524	42413	NA	NA	NA	54906	NA	56927	66820	NA	NA	52714	NA	NA	15984	47274	NA	NA	49013	NA	NA	NA	NA	11845	50683	47893	NA	NA	NA	29587
"ME204073"	NA	NA	NA	3738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1303	NA	NA	NA	NA	NA	NA	NA
"ME204069"	13162	13400	15869	18768	16824	20153	26622	9462	31881	14298	13814	27534	28206	33437	34051	NA	46782	8105	37174	36292	17348	33747	38467	24737	106887	14416	18704	18040	NA	24111	42579	36055	NA
"ME204070"	25639	33615	33258	51625	43385	17468	41450	23728	21752	12615	19860	13318	31708	27317	49184	13353	47882	NA	38959	28339	27062	33974	36539	36899	60882	13953	29245	15854	23091	26351	59116	47619	16833
"ME204074"	NA	NA	NA	192392	NA	NA	29982	NA	NA	NA	NA	NA	NA	NA	47916	55389	NA	21346	NA	115028	NA	32096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	155304
"ME204075"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12194	NA	NA	NA	NA	NA
"ME204076"	221371	297683	246963	195243	243723	NA	168429	175238	183461	117444	215343	230407	174592	NA	153863	76953	274674	NA	196922	179735	164901	180031	67065	215111	45837	NA	94303	214411	180420	182702	129589	409332	70027
"ME204077"	947112	1110928	NA	NA	NA	NA	NA	NA	793855	129370	356859	NA	626777	298542	NA	638224	706361	49995	695400	693824	476613	531981	556089	NA	532225	NA	NA	616819	489469	626738	NA	599888	NA
"ME204078"	4513	8417	NA	NA	6139	10143	7226	10106	6246	2273	4928	10703	13301	NA	5525	3178	10935	NA	12248	9685	6524	5601	33477	11502	20285	7635	39554	2398	1580	2753	2738	10046	5267
"ME204079"	NA	5860	NA	NA	NA	7115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5915	NA	NA	NA	11329	NA	1008	NA	NA	NA	NA
"ME204080"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	132231	102195	NA	NA	NA	NA	NA	NA	NA	NA
"ME204081"	1082276	1082496	1097790	1204061	1122576	957896	1015349	976612	1064620	1087450	1079886	1087520	1084226	1126822	1089651	1093146	1041902	1178888	1120553	1019085	1057118	1043743	1088333	1095937	1028682	1067604	1088203	1090017	1077270	1054830	1073110	1021550	1041539
